,Mkt-RF,SMB,HML,RF
20010501,1.37,0.1,-0.88,0.015
20010502,0.33,0.58,-1.09,0.015
20010503,-1.58,0.25,0.93,0.015
20010504,1.45,-0.21,0.17,0.015
20010507,-0.34,-0.02,0.16,0.015
20010508,-0.09,0.58,0.26,0.015
20010509,-0.49,0.06,0.48,0.015
20010510,-0.1,0.09,0.6,0.015
20010511,-0.74,0.17,0.86,0.015
20010514,0.11,-0.24,0.56,0.015
20010515,0.06,0.46,0.27,0.015
20010516,2.78,-1.09,-1.25,0.015
20010517,0.52,0.78,-0.46,0.015
20010518,0.22,0.15,0.03,0.015
20010521,1.87,0.1,-1.29,0.015
20010522,-0.15,0.33,0.14,0.015
20010523,-1.71,-0.17,0.93,0.015
20010524,0.41,0.5,-0.42,0.015
20010525,-1.04,0.8,0.3,0.015
20010529,-1.06,-0.31,1.12,0.015
20010530,-1.74,-0.28,1.85,0.015
20010531,0.73,-0.28,-0.11,0.015
20010601,0.54,0.85,-0.58,0.013
20010604,0.49,0.65,-0.14,0.013
20010605,1.45,0.41,-1.32,0.013
20010606,-0.97,0.02,0.24,0.013
20010607,0.54,0.28,-1.23,0.013
20010608,-0.99,0.03,0.69,0.013
20010611,-0.98,0.03,0.83,0.013
20010612,0.02,-0.13,0.11,0.013
20010613,-1.06,0.55,0.72,0.013
20010614,-1.96,0.04,0.76,0.013
20010615,-0.46,-0.01,0.49,0.013
20010618,-0.63,-0.86,0.92,0.013
20010619,0.21,-0.63,0.17,0.013
20010620,1.07,0.3,-0.46,0.013
20010621,0.98,-0.16,-0.29,0.013
20010622,-1,-0.39,0.16,0.013
20010625,-0.54,0.43,-0.29,0.013
20010626,-0.04,1.4,-0.09,0.013
20010627,-0.22,0.83,-0.06,0.013
20010628,1.31,0.13,-1.01,0.013
20010629,0.35,2.52,-0.89,0.013
20010702,0.56,-3.37,1.36,0.014
20010703,-0.21,-0.03,0.09,0.014
20010705,-1.24,0.28,0.34,0.014
20010706,-2.29,0.34,0.92,0.014
20010709,0.59,-0.29,0.73,0.014
20010710,-1.49,-0.71,1.97,0.014
20010711,-0.18,-0.51,0.31,0.014
20010712,2.44,0.16,-0.75,0.014
20010713,0.54,0.25,-0.49,0.014
20010716,-1.16,-0.15,0.98,0.014
20010717,1.05,0.52,-0.78,0.014
20010718,-0.69,-0.71,0.59,0.014
20010719,0.51,0.68,-0.71,0.014
20010720,-0.33,0.68,-0.08,0.014
20010723,-1.55,0.63,0.33,0.014
20010724,-1.7,0.09,0.13,0.014
20010725,1.37,-0.99,-0.12,0.014
20010726,1.19,-0.42,0.23,0.014
20010727,0.26,-0.33,-0.07,0.014
